product_id,category,price,brand,discount,rating
127,Groceries,528,Dash-Tank,10,3.4
128,Wellness,1636,"Kar, Nagi and Kara",20,4.1
129,Wellness,1594,Dugar-Bal,10,4.4
130,Electronics,50362,Balasubramanian and Sons,0,3.5
131,Electronics,38226,Bakshi-Karpe,10,4.6
132,Wellness,655,Master-Khurana,0,3.9
133,Electronics,9729,Khanna-Babu,30,4.3
134,Groceries,1870,Bahri-Sarna,0,3.0
135,Beauty,1870,"Memon, Sastry and Agrawal",30,4.0
136,Electronics,42347,Pillay-Sarkar,30,4.7
137,Wellness,280,Loke PLC,10,3.4
138,Beauty,280,"Sehgal, Sachdev and Palla",0,3.1
139,Wellness,724,Chand-Arya,20,4.0
140,Apparel,137,Sant-Sankar,20,4.4
141,Groceries,1380,Grewal-Khurana,20,3.5
142,Wellness,664,Ratti Ltd,0,4.3
143,Beauty,664,"Mitter, Vaidya and Kakar",20,3.5
144,Groceries,1937,"Kalita, Palan and Kar",30,4.3
145,Electronics,51096,Dani Ltd,10,3.8
146,Wellness,412,Solanki and Sons,30,4.9
147,Wellness,774,"Tella, Sachar and Khosla",30,4.1
148,Apparel,1436,"Karpe, Karan and Misra",10,4.2
149,Apparel,1866,Mohanty-Tandon,10,3.6
150,Wellness,1962,Naik-Sami,10,3.9
151,Apparel,1443,Pai LLC,10,3.6
152,Wellness,1191,"Samra, Tiwari and Chakrabarti",0,3.4
153,Apparel,1589,Sethi Ltd,0,4.5
154,Beauty,1589,"Dani, Kala and Ravi",20,3.9
155,Groceries,411,"Dani, Vyas and Sundaram",10,3.2
156,Apparel,153,Dar and Sons,20,4.2
157,Wellness,572,Zacharia Ltd,10,3.5
158,Electronics,48089,Prabhakar-Anand,0,4.4
159,Beauty,48089,Mani-Yadav,30,4.4
160,Groceries,476,Zachariah-Basak,30,4.0
161,Apparel,435,"Baral, Kaul and Nagar",10,3.5
162,Beauty,435,Vora and Sons,20,4.9
163,Apparel,1620,Sekhon Inc,10,4.5
164,Electronics,24209,"Jain, Upadhyay and Acharya",30,4.7
165,Beauty,24209,"Toor, Luthra and Raghavan",30,4.8
166,Beauty,24209,Chaudhary LLC,0,4.2
167,Beauty,24209,Madan Inc,30,4.2
168,Wellness,1316,Doctor-Nair,0,4.0
169,Beauty,1316,"Chaudhari, Dhar and Bail",0,4.8
170,Apparel,1162,Deo PLC,30,5.0
171,Electronics,74098,Chauhan-More,30,4.0
172,Electronics,25884,"Ahluwalia, Grewal and Kannan",20,3.9
173,Groceries,1684,Prasad and Sons,20,3.9
174,Beauty,1684,Butala-Chaudhari,0,4.4
175,Apparel,1049,Karnik PLC,30,3.2
176,Wellness,331,Dar-Saran,10,4.6
177,Wellness,377,Nadig and Sons,30,3.8
178,Beauty,377,"Shukla, Keer and Bera",10,3.9
179,Apparel,1907,Yogi-Date,30,3.2
180,Groceries,1516,Ramachandran-Mahajan,10,4.4
181,Electronics,12952,"Wason, Sahni and Savant",0,4.4
182,Groceries,274,"Mital, Nadig and Dara",30,4.5
183,Wellness,1353,Sahni PLC,10,3.8
184,Beauty,1353,Chad-Sood,10,4.8
185,Wellness,1884,Saran PLC,10,3.3
186,Apparel,466,Gupta-Lala,0,3.8
187,Groceries,1595,"Pillai, Chaudry and Sachar",30,3.6
188,Apparel,340,"Gala, Chandran and Choudhury",10,4.9
189,Electronics,34175,"Bhattacharyya, Thakur and Pandya",0,3.9
190,Beauty,34175,Savant-Khalsa,0,4.2
191,Beauty,34175,Kurian-Bawa,10,4.2
192,Beauty,34175,Tripathi-Suresh,30,3.9
193,Wellness,1329,"Rau, Sarna and Bansal",0,3.5
194,Wellness,669,Ghose Inc,10,3.1
195,Apparel,212,Goel Group,20,3.1
196,Electronics,76771,Barad Group,20,3.7
197,Electronics,7426,Grewal Inc,0,3.8
198,Apparel,430,Subramaniam-Dayal,20,4.2
199,Wellness,1272,"Deol, Magar and Borde",10,4.9
