txn_id,customer_id,product_id,txn_date,amount,category,payment_mode,merchant_type,is_discounted
85,959,146,2025-12-09 20:28:43,412,Wellness,UPI,Offline,1
86,466,85,2026-04-19 12:50:32,922,Wellness,Credit Card,Online,1
87,811,131,2025-11-14 07:27:28,38226,Electronics,Debit Card,Online,1
88,459,19,2025-12-09 01:28:01,804,Apparel,Credit Card,Offline,0
89,789,89,2025-11-27 03:38:43,1346,Groceries,UPI,Offline,0
90,951,196,2025-07-28 08:34:41,76771,Electronics,Credit Card,Offline,1
91,791,63,2025-12-01 19:42:28,876,Wellness,Credit Card,Offline,1
92,885,76,2025-11-11 08:44:13,62349,Electronics,Debit Card,Offline,0
93,259,92,2026-03-28 11:16:15,38287,Electronics,UPI,Offline,0
94,675,100,2026-02-24 08:55:47,1603,Beauty,Debit Card,Online,0
95,428,45,2025-09-09 09:38:53,506,Groceries,UPI,Online,1
96,261,136,2026-03-11 21:06:13,42347,Electronics,UPI,Offline,1
97,732,99,2025-07-12 18:39:16,1603,Apparel,UPI,Online,1
98,320,179,2025-06-20 18:20:34,1907,Apparel,Credit Card,Offline,1
99,572,174,2025-06-20 22:40:13,1684,Beauty,Credit Card,Offline,0
100,161,115,2026-02-24 15:46:13,1099,Apparel,UPI,Online,1
101,330,144,2025-09-10 21:02:52,1937,Groceries,UPI,Offline,1
102,189,188,2026-03-05 11:37:50,340,Apparel,UPI,Offline,0
103,292,115,2025-12-20 06:12:16,1099,Apparel,Debit Card,Online,1
104,711,181,2025-07-06 15:12:46,12952,Electronics,UPI,Online,1
105,198,97,2025-05-11 05:30:19,1921,Groceries,Debit Card,Offline,1
106,951,88,2025-12-15 05:54:46,1226,Beauty,UPI,Online,0
107,668,188,2025-11-08 15:49:45,340,Apparel,UPI,Offline,1
108,847,79,2026-02-09 17:16:35,259,Groceries,Credit Card,Offline,0
109,513,89,2026-03-31 01:45:56,1346,Groceries,UPI,Offline,1
110,184,8,2025-11-13 01:51:26,418,Wellness,UPI,Offline,0
111,807,111,2026-01-17 16:28:53,269,Groceries,UPI,Online,1
112,703,111,2025-10-11 04:30:47,269,Groceries,Debit Card,Online,1
113,916,189,2025-05-17 13:04:56,34175,Electronics,UPI,Offline,0
114,364,85,2026-03-25 03:56:18,922,Wellness,UPI,Offline,1
115,19,67,2025-07-27 02:09:31,1777,Beauty,UPI,Offline,0
116,966,15,2026-03-20 06:00:17,990,Wellness,UPI,Offline,0
117,145,177,2026-03-18 06:39:47,377,Wellness,UPI,Online,0
118,590,186,2025-11-22 00:14:21,466,Apparel,Credit Card,Online,1
119,830,78,2025-11-13 04:49:42,1183,Groceries,UPI,Offline,0
120,994,4,2025-11-04 18:18:26,1455,Apparel,Debit Card,Online,0
121,204,178,2025-05-04 05:00:31,377,Beauty,UPI,Offline,1
122,334,137,2025-08-29 23:09:05,280,Wellness,UPI,Offline,0
123,891,91,2025-08-12 23:34:21,868,Beauty,Credit Card,Offline,0
124,894,124,2025-08-16 08:04:12,32856,Electronics,Credit Card,Offline,1
125,945,136,2025-12-02 08:57:42,42347,Electronics,UPI,Online,0
126,644,59,2026-04-12 22:05:21,1213,Apparel,UPI,Online,0
127,103,94,2025-08-16 03:03:48,1852,Apparel,UPI,Online,0
128,937,64,2025-08-27 23:36:14,1854,Wellness,UPI,Online,1
129,797,28,2025-06-30 17:36:16,24908,Electronics,UPI,Online,0
130,100,180,2025-06-07 17:46:26,1516,Groceries,UPI,Offline,0
131,626,0,2025-05-18 14:45:42,748,Groceries,UPI,Online,1
132,949,125,2026-03-24 04:49:52,128,Groceries,Credit Card,Offline,0
133,355,5,2026-03-21 22:46:11,28600,Electronics,UPI,Online,0
134,848,74,2025-05-28 15:20:06,1570,Wellness,Credit Card,Online,1
135,215,146,2026-01-31 10:13:14,412,Wellness,UPI,Online,1
136,0,27,2026-03-10 15:48:56,1756,Wellness,Debit Card,Offline,1
137,203,110,2026-03-16 14:20:57,1710,Groceries,UPI,Offline,0
138,219,163,2025-10-21 06:58:32,1620,Apparel,UPI,Online,1
139,505,127,2025-04-29 13:59:48,528,Groceries,Credit Card,Offline,1
140,324,187,2026-04-20 08:08:35,1595,Groceries,UPI,Online,1
141,845,41,2025-08-13 22:55:19,33631,Beauty,UPI,Offline,1
142,625,45,2025-05-25 13:15:07,506,Groceries,Credit Card,Online,1
143,626,132,2025-05-08 19:17:53,655,Wellness,Credit Card,Offline,1
144,892,59,2026-03-11 13:13:52,1213,Apparel,UPI,Offline,1
145,722,102,2025-08-05 10:13:44,176,Groceries,Debit Card,Offline,1
146,462,101,2026-03-18 05:29:05,1778,Wellness,UPI,Online,1
147,58,61,2025-09-29 18:43:17,1020,Apparel,UPI,Offline,1
148,301,60,2025-06-10 19:28:26,1213,Beauty,UPI,Offline,0
149,15,69,2025-12-02 10:32:20,1449,Wellness,UPI,Online,1
150,882,7,2025-09-07 09:11:43,53037,Electronics,UPI,Offline,1
151,334,29,2025-09-20 07:01:11,24908,Beauty,Credit Card,Online,0
152,89,79,2025-06-16 03:41:15,259,Groceries,Credit Card,Online,0
153,542,171,2026-02-18 08:26:20,74098,Electronics,UPI,Online,1
154,643,152,2025-05-13 17:10:05,1191,Wellness,UPI,Online,0
155,782,158,2026-04-11 02:22:37,48089,Electronics,Credit Card,Offline,0
156,940,184,2025-05-03 03:55:05,1353,Beauty,UPI,Online,1
157,88,153,2025-09-17 16:57:35,1589,Apparel,Credit Card,Online,1
158,43,136,2025-06-17 12:38:29,42347,Electronics,Credit Card,Online,0
159,928,54,2025-09-04 01:48:30,748,Apparel,Credit Card,Online,0
160,315,126,2026-03-04 11:52:23,40992,Electronics,Credit Card,Offline,1
161,638,176,2026-04-19 23:06:47,331,Wellness,Debit Card,Online,0
162,541,149,2025-09-09 01:08:53,1866,Apparel,Credit Card,Offline,0
163,662,173,2025-10-18 17:50:36,1684,Groceries,Credit Card,Online,1
164,434,131,2025-11-21 14:37:53,38226,Electronics,Debit Card,Offline,0
165,436,7,2025-07-08 03:15:18,53037,Electronics,Credit Card,Offline,0
166,98,58,2025-08-25 18:51:09,1527,Wellness,Credit Card,Offline,1
167,185,45,2025-07-16 04:41:10,506,Groceries,UPI,Offline,0
168,237,170,2025-11-04 03:38:49,1162,Apparel,UPI,Offline,0
169,484,83,2026-04-09 01:04:48,833,Wellness,UPI,Online,1
170,401,40,2025-11-21 04:01:39,33631,Electronics,UPI,Offline,1
171,859,141,2025-12-26 15:20:03,1380,Groceries,UPI,Offline,1
172,678,37,2025-10-29 08:24:55,214,Apparel,Credit Card,Offline,1
173,151,69,2025-09-12 20:08:08,1449,Wellness,UPI,Online,0
174,537,189,2025-05-09 12:06:22,34175,Electronics,Credit Card,Offline,1
175,647,46,2025-09-06 12:19:30,331,Apparel,UPI,Online,1
176,245,91,2026-03-04 12:21:38,868,Beauty,Credit Card,Offline,0
177,398,65,2025-11-28 21:56:19,756,Apparel,UPI,Offline,1
178,481,157,2026-01-18 05:17:57,572,Wellness,UPI,Offline,0
179,634,135,2026-03-29 14:18:12,1870,Beauty,UPI,Online,1
180,772,132,2025-08-24 10:34:54,655,Wellness,UPI,Offline,0
181,37,83,2025-09-08 21:42:05,833,Wellness,UPI,Offline,1
182,621,7,2025-08-10 10:40:07,53037,Electronics,UPI,Online,1
183,351,187,2025-06-14 09:29:16,1595,Groceries,Debit Card,Online,0
184,639,2,2026-01-04 12:18:54,1420,Beauty,Debit Card,Offline,0
185,61,64,2025-05-20 11:28:39,1854,Wellness,UPI,Offline,1
186,476,20,2025-05-12 09:18:21,65478,Electronics,UPI,Online,0
187,179,23,2025-09-17 12:15:09,995,Wellness,Credit Card,Offline,0
188,447,63,2026-03-02 18:10:41,876,Wellness,Debit Card,Offline,0
189,381,20,2025-07-19 18:11:22,65478,Electronics,Debit Card,Offline,1
190,148,196,2025-05-04 05:19:43,76771,Electronics,UPI,Online,0
191,725,70,2026-03-03 06:58:26,465,Apparel,Debit Card,Online,1
192,485,28,2026-01-08 10:22:02,24908,Electronics,UPI,Offline,0
193,407,33,2025-12-26 09:33:18,37977,Beauty,Debit Card,Offline,1
194,146,162,2026-01-21 03:27:06,435,Beauty,UPI,Offline,0
195,505,85,2025-05-26 08:24:32,922,Wellness,Credit Card,Online,1
196,770,0,2025-08-28 14:54:19,748,Groceries,UPI,Offline,0
197,374,148,2025-10-08 21:28:27,1436,Apparel,Debit Card,Online,0
198,179,66,2025-11-06 11:23:36,1777,Wellness,UPI,Online,0
199,626,56,2026-01-11 13:29:33,1583,Groceries,UPI,Online,1
200,929,126,2025-10-31 19:29:18,40992,Electronics,Debit Card,Online,1
201,463,88,2025-12-30 02:56:41,1226,Beauty,Credit Card,Online,1
202,558,154,2025-09-19 17:31:32,1589,Beauty,UPI,Offline,1
203,537,78,2026-03-14 13:41:18,1183,Groceries,UPI,Online,0
204,373,185,2025-12-12 22:30:48,1884,Wellness,UPI,Online,0
205,192,2,2026-01-30 12:04:01,1420,Beauty,UPI,Online,1
206,222,158,2026-04-17 20:26:40,48089,Electronics,UPI,Offline,1
207,739,51,2026-04-18 00:19:45,860,Beauty,Debit Card,Offline,0
208,794,48,2026-01-12 11:37:36,345,Wellness,Debit Card,Online,0
209,281,173,2026-01-15 11:40:55,1684,Groceries,Debit Card,Online,0
210,501,62,2025-10-12 02:31:13,851,Wellness,UPI,Offline,0
211,120,126,2026-02-23 10:03:16,40992,Electronics,UPI,Offline,1
212,480,62,2026-04-09 01:34:07,851,Wellness,UPI,Online,1
213,757,69,2025-05-28 16:34:01,1449,Wellness,Debit Card,Online,1
214,95,121,2026-01-16 21:59:24,816,Apparel,Credit Card,Offline,1
215,545,187,2025-11-01 11:58:26,1595,Groceries,UPI,Offline,0
216,930,77,2025-09-06 07:07:28,62349,Beauty,UPI,Online,1
217,159,96,2025-09-20 17:29:21,1982,Beauty,UPI,Offline,0
218,718,43,2025-09-08 06:49:47,761,Groceries,Debit Card,Offline,0
219,854,45,2025-10-30 12:02:18,506,Groceries,UPI,Offline,0
220,665,162,2025-08-07 16:00:25,435,Beauty,UPI,Online,0
221,301,3,2025-10-23 01:52:26,1849,Apparel,UPI,Online,1
222,186,126,2025-10-11 15:40:35,40992,Electronics,Credit Card,Online,0
223,227,30,2025-05-04 03:24:05,1107,Wellness,Credit Card,Offline,1
224,319,147,2026-01-28 10:07:49,774,Wellness,UPI,Online,1
225,639,24,2025-09-17 08:21:48,995,Beauty,UPI,Online,1
226,559,55,2025-12-17 04:54:43,748,Beauty,Debit Card,Online,0
227,865,157,2025-11-19 09:16:14,572,Wellness,Credit Card,Online,1
228,885,184,2025-04-30 12:44:35,1353,Beauty,UPI,Online,1
229,221,136,2026-03-11 13:24:01,42347,Electronics,Debit Card,Offline,1
230,708,64,2025-07-21 03:30:50,1854,Wellness,UPI,Online,1
231,723,57,2025-10-09 23:03:56,64609,Electronics,UPI,Online,1
232,29,162,2025-10-23 09:45:32,435,Beauty,UPI,Offline,0
233,161,61,2026-04-08 19:48:25,1020,Apparel,Credit Card,Online,1
234,72,163,2025-08-08 19:32:46,1620,Apparel,UPI,Online,1
235,613,56,2026-04-01 15:26:01,1583,Groceries,UPI,Offline,1
236,638,62,2025-11-23 14:49:24,851,Wellness,UPI,Online,0
237,461,134,2026-04-04 18:35:15,1870,Groceries,Debit Card,Online,0
238,394,82,2025-12-10 11:09:09,1243,Apparel,UPI,Online,0
239,527,38,2026-01-07 14:55:08,72197,Electronics,UPI,Online,1
240,146,1,2026-03-31 05:10:16,1420,Wellness,UPI,Offline,0
241,51,19,2025-07-08 02:06:09,804,Apparel,UPI,Offline,1
242,538,79,2025-10-20 07:24:50,259,Groceries,Debit Card,Offline,1
243,858,9,2026-01-01 03:48:33,418,Beauty,UPI,Offline,1
244,622,126,2025-07-14 21:03:32,40992,Electronics,Credit Card,Offline,0
245,989,167,2025-12-19 14:36:05,24209,Beauty,UPI,Online,1
246,662,105,2026-03-27 12:18:02,1631,Apparel,UPI,Offline,1
247,13,15,2025-05-20 04:24:48,990,Wellness,UPI,Offline,1
248,539,6,2025-10-31 22:55:41,9361,Electronics,UPI,Online,1
249,717,87,2026-02-06 02:23:44,1226,Groceries,Credit Card,Online,0
250,101,37,2026-04-06 14:51:33,214,Apparel,UPI,Online,0
251,725,81,2025-07-05 23:02:36,495,Apparel,Debit Card,Offline,1
252,526,17,2025-06-19 18:06:16,990,Beauty,UPI,Offline,0
253,927,173,2026-04-10 13:57:41,1684,Groceries,UPI,Offline,0
254,774,155,2025-10-12 16:58:36,411,Groceries,UPI,Offline,0
255,50,161,2025-06-29 21:13:08,435,Apparel,UPI,Online,0
256,822,61,2025-05-26 07:02:13,1020,Apparel,Debit Card,Offline,0
257,657,143,2025-12-26 16:20:18,664,Beauty,UPI,Offline,0
258,373,110,2025-11-23 02:47:47,1710,Groceries,UPI,Offline,0
259,140,66,2026-03-02 14:39:56,1777,Wellness,UPI,Online,0
260,177,186,2026-01-20 00:02:31,466,Apparel,UPI,Online,1
261,258,97,2026-03-30 00:29:39,1921,Groceries,UPI,Online,0
262,173,61,2025-10-21 03:24:56,1020,Apparel,UPI,Online,1
263,618,169,2026-01-14 21:17:28,1316,Beauty,Credit Card,Online,1
264,416,55,2026-01-16 06:09:14,748,Beauty,Debit Card,Online,0
265,658,125,2025-11-21 19:53:05,128,Groceries,UPI,Online,0
266,822,139,2026-01-25 01:34:52,724,Wellness,UPI,Offline,0
267,507,97,2026-03-05 08:25:05,1921,Groceries,Credit Card,Online,0
268,211,56,2025-05-10 08:16:26,1583,Groceries,UPI,Offline,0
269,660,162,2025-06-10 10:58:11,435,Beauty,UPI,Offline,0
270,685,169,2026-03-22 04:42:49,1316,Beauty,Credit Card,Online,1
271,443,3,2026-02-08 05:19:38,1849,Apparel,UPI,Offline,0
272,21,189,2025-05-27 23:58:21,34175,Electronics,UPI,Offline,0
273,163,143,2025-08-24 04:56:33,664,Beauty,UPI,Offline,0
274,559,91,2025-11-24 07:21:23,868,Beauty,UPI,Offline,0
275,810,87,2026-03-31 20:30:23,1226,Groceries,UPI,Online,1
276,408,11,2025-11-04 03:59:32,158,Apparel,Credit Card,Online,0
277,216,178,2025-05-16 21:02:05,377,Beauty,UPI,Online,0
278,956,81,2025-04-30 07:23:07,495,Apparel,Credit Card,Online,0
279,82,83,2026-04-19 13:40:11,833,Wellness,Credit Card,Offline,0
280,825,47,2025-05-21 06:55:10,130,Groceries,UPI,Offline,1
281,744,74,2026-03-26 07:02:06,1570,Wellness,UPI,Offline,1
282,502,150,2025-09-25 08:00:02,1962,Wellness,UPI,Online,1
283,17,7,2025-05-22 14:03:38,53037,Electronics,UPI,Offline,1
284,25,92,2025-10-11 15:58:51,38287,Electronics,UPI,Online,1
285,744,10,2025-10-30 00:17:06,1007,Groceries,Debit Card,Online,1
286,37,44,2025-07-15 14:43:23,73034,Electronics,Debit Card,Offline,1
287,671,40,2025-05-31 06:33:00,33631,Electronics,UPI,Online,0
288,822,5,2025-09-24 10:15:33,28600,Electronics,Credit Card,Offline,1
289,616,130,2025-05-25 17:25:12,50362,Electronics,UPI,Online,1
290,433,136,2026-01-24 17:59:28,42347,Electronics,Debit Card,Online,1
291,761,188,2025-08-26 02:24:54,340,Apparel,UPI,Online,1
292,517,192,2025-05-02 20:44:36,34175,Beauty,UPI,Online,1
293,177,111,2025-05-29 21:20:02,269,Groceries,UPI,Offline,0
294,923,191,2025-07-04 03:40:56,34175,Beauty,UPI,Offline,0
295,879,140,2026-03-14 03:12:33,137,Apparel,Credit Card,Offline,0
296,683,164,2026-01-10 16:07:40,24209,Electronics,UPI,Offline,1
297,806,29,2026-02-18 18:57:29,24908,Beauty,UPI,Offline,1
298,286,126,2025-08-19 10:00:13,40992,Electronics,UPI,Online,1
299,81,112,2025-10-12 22:55:46,72847,Electronics,UPI,Online,1
300,29,175,2025-06-27 05:42:15,1049,Apparel,UPI,Offline,0
301,442,36,2025-05-30 21:27:55,1709,Beauty,UPI,Online,1
302,681,84,2025-11-05 16:46:28,833,Beauty,UPI,Offline,1
303,783,10,2026-01-23 12:09:59,1007,Groceries,UPI,Offline,1
304,274,18,2026-02-26 21:00:36,721,Apparel,UPI,Online,1
305,97,34,2025-06-12 20:43:15,65694,Electronics,Debit Card,Online,0
306,696,12,2026-03-31 02:06:04,1869,Groceries,UPI,Online,1
307,308,193,2025-12-26 16:32:52,1329,Wellness,UPI,Online,0
308,70,122,2025-10-17 17:02:02,816,Beauty,UPI,Online,1
309,21,191,2025-10-22 14:15:20,34175,Beauty,Debit Card,Online,0
310,776,149,2025-09-10 11:54:14,1866,Apparel,Credit Card,Offline,1
311,481,111,2026-02-01 20:14:25,269,Groceries,UPI,Offline,0
312,462,76,2025-05-13 13:39:55,62349,Electronics,Credit Card,Online,0
313,797,88,2025-09-15 17:57:03,1226,Beauty,Credit Card,Offline,0
314,431,129,2025-08-29 02:33:56,1594,Wellness,UPI,Offline,1
315,797,22,2025-09-01 23:06:10,865,Wellness,UPI,Online,0
316,30,65,2025-11-24 11:21:09,756,Apparel,UPI,Online,1
317,513,173,2025-09-03 00:29:15,1684,Groceries,UPI,Online,1
318,232,104,2026-03-26 20:03:26,44829,Beauty,UPI,Online,0
319,734,115,2025-09-03 11:04:04,1099,Apparel,Credit Card,Online,0
320,213,124,2025-11-13 10:51:06,32856,Electronics,UPI,Offline,1
321,722,122,2025-11-07 21:25:47,816,Beauty,Debit Card,Offline,1
322,411,137,2026-04-20 19:26:04,280,Wellness,UPI,Online,1
323,79,58,2026-01-28 00:01:00,1527,Wellness,UPI,Online,0
324,128,172,2025-10-08 11:47:04,25884,Electronics,UPI,Offline,0
325,975,159,2026-03-30 11:02:55,48089,Beauty,UPI,Offline,1
326,913,59,2026-04-06 00:54:46,1213,Apparel,UPI,Online,1
327,55,132,2026-01-08 12:57:02,655,Wellness,Debit Card,Offline,1
328,990,43,2025-09-28 14:20:18,761,Groceries,UPI,Offline,0
329,301,66,2025-11-02 17:47:06,1777,Wellness,UPI,Online,0
330,161,43,2025-12-14 09:58:33,761,Groceries,UPI,Offline,1
331,115,20,2026-03-12 19:39:04,65478,Electronics,Debit Card,Offline,1
332,764,177,2026-02-26 22:39:00,377,Wellness,UPI,Offline,1
333,647,155,2025-09-20 19:18:59,411,Groceries,UPI,Online,1
334,100,46,2025-05-22 20:46:59,331,Apparel,Debit Card,Offline,1
335,776,0,2026-01-01 15:06:00,748,Groceries,UPI,Offline,0
336,379,87,2026-02-15 02:43:45,1226,Groceries,UPI,Offline,0
337,5,18,2025-10-29 16:04:15,721,Apparel,Credit Card,Online,1
338,253,90,2026-01-18 14:24:30,868,Apparel,Debit Card,Offline,1
339,611,179,2025-05-03 04:28:19,1907,Apparel,Credit Card,Offline,1
340,708,136,2025-07-02 02:06:05,42347,Electronics,UPI,Online,1
341,405,172,2025-09-09 17:44:55,25884,Electronics,Credit Card,Offline,1
342,335,158,2025-09-02 15:44:23,48089,Electronics,UPI,Offline,0
343,932,176,2025-05-11 14:31:11,331,Wellness,UPI,Offline,0
344,66,112,2026-01-21 13:38:34,72847,Electronics,UPI,Online,0
345,356,34,2026-02-24 10:36:32,65694,Electronics,Credit Card,Online,1
346,305,29,2025-11-08 12:59:12,24908,Beauty,UPI,Online,0
347,788,73,2025-12-27 02:17:06,624,Wellness,UPI,Online,1
348,323,25,2025-11-03 14:03:51,995,Beauty,UPI,Offline,1
349,48,41,2026-04-16 21:34:00,33631,Beauty,Debit Card,Offline,0
350,679,70,2026-02-24 19:46:50,465,Apparel,UPI,Online,1
351,491,195,2025-09-13 21:15:13,212,Apparel,Credit Card,Online,0
352,114,116,2025-07-29 09:03:38,1249,Apparel,UPI,Online,0
353,76,19,2026-02-12 09:58:56,804,Apparel,Debit Card,Offline,1
354,617,196,2025-10-26 12:59:39,76771,Electronics,Credit Card,Offline,1
355,927,5,2025-05-10 16:55:16,28600,Electronics,UPI,Online,1
356,583,27,2025-04-26 09:37:18,1756,Wellness,UPI,Offline,1
357,243,55,2025-07-19 18:20:20,748,Beauty,UPI,Online,0
358,485,62,2026-03-05 14:17:53,851,Wellness,UPI,Online,1
359,795,161,2025-12-04 12:03:20,435,Apparel,Credit Card,Online,0
360,270,84,2026-03-16 22:00:54,833,Beauty,Debit Card,Online,1
361,887,73,2025-05-13 01:34:51,624,Wellness,Debit Card,Offline,0
362,728,144,2026-02-18 13:05:30,1937,Groceries,Credit Card,Online,1
363,49,99,2025-10-31 00:48:34,1603,Apparel,Debit Card,Offline,0
364,405,139,2025-05-27 18:46:15,724,Wellness,UPI,Online,1
365,720,9,2025-11-03 13:32:32,418,Beauty,Debit Card,Online,1
366,660,115,2025-09-11 19:18:15,1099,Apparel,UPI,Online,0
367,334,165,2025-10-03 13:57:19,24209,Beauty,UPI,Online,1
368,644,10,2025-09-06 18:26:25,1007,Groceries,Credit Card,Offline,1
369,546,117,2026-01-07 23:03:01,1690,Groceries,UPI,Online,1
370,525,115,2025-07-15 14:01:31,1099,Apparel,Debit Card,Online,1
371,745,51,2025-07-09 12:32:40,860,Beauty,Credit Card,Online,1
372,451,174,2025-10-06 22:59:25,1684,Beauty,Debit Card,Online,0
373,100,62,2025-11-26 01:04:11,851,Wellness,UPI,Offline,0
374,319,162,2025-05-04 22:39:36,435,Beauty,UPI,Offline,1
375,99,165,2025-08-06 12:41:51,24209,Beauty,UPI,Online,0
